Thu Jun 16 04:24:19 2022 Epoch 43, lr: 0.0000900, val loss: 89.31310, acc: 68.67000
Thu Jun 16 04:24:29 2022 Epoch 24, lr: 0.0000970, val loss: 103.45870, acc: 62.83000
Thu Jun 16 04:24:31 2022 Epoch 53, lr: 0.0000848, val loss: 78.18278, acc: 72.63000
Thu Jun 16 04:24:45 2022 Epoch 66, lr: 0.0000768, val loss: 72.51214, acc: 74.71000
Thu Jun 16 04:24:47 2022 Epoch 44, lr: 0.0000895, val loss: 88.13054, acc: 68.83000
Thu Jun 16 04:24:58 2022 Epoch 54, lr: 0.0000842, val loss: 78.33749, acc: 72.45000
Thu Jun 16 04:25:12 2022 Epoch 67, lr: 0.0000761, val loss: 71.27578, acc: 75.31000
Thu Jun 16 04:25:15 2022 Epoch 45, lr: 0.0000890, val loss: 88.11493, acc: 68.90000
Thu Jun 16 04:25:17 2022 Epoch 25, lr: 0.0000968, val loss: 102.47137, acc: 63.90000
Thu Jun 16 04:25:26 2022 Epoch 55, lr: 0.0000837, val loss: 77.81990, acc: 72.74000
Thu Jun 16 04:25:39 2022 Epoch 68, lr: 0.0000755, val loss: 69.32979, acc: 76.25000
Thu Jun 16 04:25:44 2022 Epoch 46, lr: 0.0000885, val loss: 86.85070, acc: 69.54000
Thu Jun 16 04:25:53 2022 Epoch 56, lr: 0.0000831, val loss: 79.34871, acc: 72.61000
Thu Jun 16 04:26:06 2022 Epoch 69, lr: 0.0000748, val loss: 73.20899, acc: 75.04000
Thu Jun 16 04:26:06 2022 Epoch 26, lr: 0.0000965, val loss: 101.85380, acc: 64.59000
Thu Jun 16 04:26:12 2022 Epoch 47, lr: 0.0000880, val loss: 88.79629, acc: 68.40000
Thu Jun 16 04:26:21 2022 Epoch 57, lr: 0.0000825, val loss: 77.16481, acc: 72.92000
Thu Jun 16 04:26:32 2022 Epoch 70, lr: 0.0000741, val loss: 69.08711, acc: 75.83000
Thu Jun 16 04:26:40 2022 Epoch 48, lr: 0.0000875, val loss: 87.15367, acc: 69.57000
Thu Jun 16 04:26:48 2022 Epoch 58, lr: 0.0000819, val loss: 77.55825, acc: 72.92000
Thu Jun 16 04:26:54 2022 Epoch 27, lr: 0.0000962, val loss: 101.77285, acc: 64.01000
Thu Jun 16 04:26:59 2022 Epoch 71, lr: 0.0000734, val loss: 68.29920, acc: 76.12000
Thu Jun 16 04:27:08 2022 Epoch 49, lr: 0.0000870, val loss: 83.84582, acc: 70.55000
Thu Jun 16 04:27:16 2022 Epoch 59, lr: 0.0000813, val loss: 76.47487, acc: 73.53000
